Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
Thursday1,03-17-16,R,0,R,0,0
Thursday1,03-24-16,R,R,0,R,0
Thursday1,03-31-16,R,0,R,0,0
Thursday1,04-07-16,R,R,0,R,0
Thursday1,04-14-16,R,0,R,0,0
Thursday1,04-21-16,R,R,0,R,0
Thursday1,04-28-16,R,0,R,0,0
Thursday1,05-05-16,R,R,0,R,0
Thursday1,05-12-16,R,0,R,0,0
Thursday1,05-19-16,R,R,0,R,0
Thursday1,05-26-16,R,0,R,0,0
Thursday1,06-02-16,R,R,0,R,0
Thursday1,06-09-16,R,0,R,0,0
Thursday1,06-16-16,R,R,0,R,0
Thursday1,06-23-16,R,0,R,0,0
Thursday1,06-30-16,R,R,0,R,0
Thursday1,07-07-16,R,0,R,0,0
Thursday1,07-14-16,R,R,0,R,0
Thursday1,07-21-16,R,0,R,0,0
Thursday1,07-28-16,R,R,0,R,0
Thursday1,08-04-16,R,0,R,0,0
Thursday1,08-11-16,R,R,0,R,0
Thursday1,08-18-16,R,0,R,0,0
Thursday1,08-25-16,R,R,0,R,0
Thursday1,09-01-16,R,0,R,0,0
Thursday1,09-08-16,R,R,0,R,0
Thursday1,09-15-16,R,0,R,0,0
Thursday1,09-22-16,R,R,0,R,0
Thursday1,09-29-16,R,0,R,0,0
Thursday1,10-06-16,R,R,0,R,0
Thursday1,10-13-16,R,0,R,0,0
Thursday1,10-20-16,R,R,0,R,0
Thursday1,10-27-16,R,0,R,0,0
Thursday1,11-03-16,R,R,0,R,0
Thursday1,11-10-16,R,0,R,0,0
Thursday1,11-17-16,R,R,0,R,0
Thursday1,11-24-16,R,0,R,0,0
Thursday1,12-01-16,R,R,0,R,0
Thursday1,12-08-16,R,0,R,0,0
Thursday1,12-15-16,R,R,0,R,0
Thursday1,12-22-16,R,0,R,0,0
Thursday1,12-29-16,R,R,0,0,0
Thursday2,01-07-16,R,R,0,0,R
Thursday2,01-14-16,R,0,R,0,0
Thursday2,01-21-16,R,R,0,0,R
Thursday2,01-28-16,R,0,R,0,0
Thursday2,02-04-16,R,R,0,0,0
Thursday2,02-11-16,R,0,R,0,0
Thursday2,02-18-16,R,R,0,0,0
Thursday2,02-25-16,R,0,R,0,0
Thursday2,03-03-16,R,R,0,0,0
Thursday2,03-10-16,R,0,R,0,0
Thursday2,03-17-16,R,R,0,R,0
Thursday2,03-24-16,R,0,R,0,0
Thursday2,03-31-16,R,R,0,R,0
Thursday2,04-07-16,R,0,R,0,0
Thursday2,04-14-16,R,R,0,R,0
Thursday2,04-21-16,R,0,R,0,0
Thursday2,04-28-16,R,R,0,R,0
Thursday2,05-05-16,R,0,R,0,0
Thursday2,05-12-16,R,R,0,R,0
Thursday2,05-19-16,R,0,R,0,0
Thursday2,05-26-16,R,R,0,R,0
Thursday2,06-02-16,R,0,R,0,0
Thursday2,06-09-16,R,R,0,R,0
Thursday2,06-16-16,R,0,R,0,0
Thursday2,06-23-16,R,R,0,R,0
Thursday2,06-30-16,R,0,R,0,0
Thursday2,07-07-16,R,R,0,R,0
Thursday2,07-14-16,R,0,R,0,0
Thursday2,07-21-16,R,R,0,R,0
Thursday2,07-28-16,R,0,R,0,0
Thursday2,08-04-16,R,R,0,R,0
Thursday2,08-11-16,R,0,R,0,0
